SE folder,Model,Train sample size,Error distance (50%) mm,Error distance (90%) mm,Error distance (95%) mm,Error distance (99%) mm,Error distance (avg) mm,Error std mm,oks mAP,Dataset
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0050.rep=0\models\230329_170108.multi_instance.n=96,50,0.9912556016194584,2.7910313142679066,3.3635110509612325,4.245317344538557,1.3084553483540748,1.0049231757364907,0.047712635850482826,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0050.rep=1\models\230403_162719.multi_instance.n=96,50,0.8781391778019748,2.61496141921461,3.3934888727928065,4.721910037120395,1.177136833912517,1.0334033913266358,0.11320829932142125,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0050.rep=2\models\230404_115603.multi_instance.n=96,50,0.854536645447788,2.274866286627035,2.7982148801705606,5.075691370175943,1.1259869167707313,0.9803600135823792,0.14175835962844724,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0100.rep=0\models\230404_132928.multi_instance.n=146,100,0.7738320363701942,2.0320496191115724,2.3205772889365988,3.4943295219460406,0.970231765693702,0.7904870731059217,0.15623446142159897,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0100.rep=1\models\230404_181736.multi_instance.n=146,100,0.7752870653148429,2.435098871637945,3.208642166561077,4.673556891752085,1.1037899452818014,1.0582070168381568,0.15884842378083397,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0100.rep=2\models\230404_204454.multi_instance.n=146,100,0.7877345099696474,2.229349611078555,2.7411588876569537,3.678330872560151,1.0235239546033248,0.8815824936113541,0.1679389220293085,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0200.rep=0\models\230404_211643.multi_instance.n=246,200,0.6564331459166237,1.9830988414879573,2.3833328508390945,3.945869713224757,0.8875912651573891,0.81597838378719,0.23416059645913395,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0200.rep=1\models\230404_213956.multi_instance.n=246,200,0.6693905086441717,2.187348195661983,2.617584199876818,4.029570549552172,0.9234942397522516,0.8565689797168757,0.20997379468059446,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0200.rep=2\models\230404_224559.multi_instance.n=246,200,0.7282957149910912,2.0267254056290818,2.8666770439191707,4.155202383774113,0.9666113218495322,0.8844701215201758,0.18833609686301003,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0400.rep=0\models\230405_090229.multi_instance.n=446,400,0.5309386889853867,1.9286509006281178,2.309662635395822,3.235047831458825,0.8134845945014736,0.8010453392443282,0.24442207908661656,"Rice (3 DAG, primary)"
